"name","link","rank","draft_year","draft_rd","draft_pk","recruit_year","top","highSchool","coll","draft","rookie","success","highest"
"Richard Jefferson","/players/j/jefferi01.html",33,2001,1,13,1998,1,1,1,1,1,2,"success"
"B.B. Waldon","https://www.sports-reference.com/cbb/players/bb-waldon-1.html",35,,,,1998,1,1,0,,,,"college"
"Doug Wrenn","https://www.sports-reference.com/cbb/players/doug-wrenn-1.html",36,,,,1998,1,1,0,,,,"college"
"Ronald Blackshear","https://www.sports-reference.com/cbb/players/ronald-blackshear-1.html",37,,,,1998,1,1,0,,,,"college"
"Rasual Butler","/players/b/butlera01.html",37,2002,2,53,1998,1,1,1,1,1,3,"success"
"Tony Bland","https://www.sports-reference.com/cbb/players/tony-bland-1.html",39,,,,1998,1,1,0,,,,"college"
"Jeff Boschee","https://www.sports-reference.com/cbb/players/jeff-boschee-1.html",40,,,,1998,1,1,0,,,,"college"
"Travis Robinson","https://www.sports-reference.com/cbb/players/travis-robinson-1.html",41,,,,1998,1,1,0,,,,"college"
"Tony Kitchings","https://www.sports-reference.com/cbb/players/tony-kitchings-1.html",42,,,,1998,1,1,0,,,,"college"
"Ruben Douglas","https://www.sports-reference.com/cbb/players/ruben-douglas-1.html",43,,,,1998,1,1,0,,,,"college"
"Paris London","https://www.sports-reference.com/cbb/players/paris-london-1.html",43,,,,1998,1,1,0,,,,"college"
"Joey Range","https://www.sports-reference.com/cbb/players/joey-range-1.html",45,,,,1998,1,1,0,,,,"college"
"Fred Primus","https://www.sports-reference.com/cbb/players/fred-primus-1.html",46,,,,1998,1,1,0,,,,"college"
"Troy Murphy","/players/m/murphtr01.html",46,2001,1,14,1998,1,1,1,1,1,2,"success"
"Jose Winston","https://www.sports-reference.com/cbb/players/jose-winston-1.html",48,,,,1998,1,1,0,,,,"college"
"Sam Clancy","https://www.sports-reference.com/cbb/players/sam-clancy-1.html",49,,,,1998,1,1,0,,,,"college"
"Brandon Dean","https://www.sports-reference.com/cbb/players/brandon-dean-1.html",50,,,,1998,1,1,0,,,,"college"
"Eugene Land","https://www.sports-reference.com/cbb/players/eugene-land-1.html",51,,,,1998,1,1,0,,,,"college"
"Chris Richardson","https://www.sports-reference.com/cbb/players/chris-richardson-1.html",52,,,,1998,1,1,0,,,,"college"
"Ladarius Halton","https://www.sports-reference.com/cbb/players/ladarius-halton-1.html",53,,,,1998,1,1,0,,,,"college"
"Matt Barnes","/players/b/barnema02.html",54,2002,2,46,1998,1,1,1,0,,,"draft"
"Fred Jones","/players/j/jonesfr01.html",54,2002,1,14,1998,1,1,1,1,1,3,"success"
"Tony Akins","https://www.sports-reference.com/cbb/players/tony-akins-1.html",56,,,,1998,1,1,0,,,,"college"
"Broderick Hicks","https://www.sports-reference.com/cbb/players/broderick-hicks-1.html",57,,,,1998,1,1,0,,,,"college"
"Darius Songaila","/players/s/songada01.html",58,2002,2,50,1998,1,1,1,1,1,3,"success"
"Kevin Braswell","https://www.sports-reference.com/cbb/players/kevin-braswell-1.html",59,,,,1998,1,1,0,,,,"college"
"De Angelo McDaniel","https://www.sports-reference.com/cbb/players/de-angelo-mcdaniel-1.html",60,,,,1998,1,1,0,,,,"college"
"Desmond Allison","https://www.sports-reference.com/cbb/players/desmond-allison-1.html",61,,,,1998,1,1,0,,,,"college"
"Clarence Gilbert","https://www.sports-reference.com/cbb/players/clarence-gilbert-1.html",62,,,,1998,1,1,0,,,,"college"
"D.A. Layne","https://www.sports-reference.com/cbb/players/da-layne-1.html",63,,,,1998,1,1,0,,,,"college"
"Keith Bean","https://www.sports-reference.com/cbb/players/keith-bean-1.html",64,,,,1998,1,1,0,,,,"college"
"Bobby Smith","https://www.sports-reference.com/cbb/players/bobby-smith-2.html",64,,,,1998,1,1,0,,,,"college"
"Ernest Brown","/players/b/browner01.html",66,2000,2,52,1998,1,1,1,0,,,"draft"
"Cedric Taylor","",67,,,,1998,1,0,,,,,"highSchool"
"Rick Anderson","https://www.sports-reference.com/cbb/players/rick-anderson-1.html",67,,,,1998,1,1,0,,,,"college"
"Louis Truscott","https://www.sports-reference.com/cbb/players/louis-truscott-1.html",69,,,,1998,1,1,0,,,,"college"
"Craig Dawson","https://www.sports-reference.com/cbb/players/craig-dawson-1.html",70,,,,1998,1,1,0,,,,"college"
"Luke Walton","/players/w/waltolu01.html",71,2003,2,32,1998,1,1,1,1,1,3,"success"
"Desmond Herod","https://www.sports-reference.com/cbb/players/desmond-herod-1.html",72,,,,1998,1,1,0,,,,"college"
"Udonis Haslem","/players/h/hasleud01.html",72,,,,1998,1,1,0,,,,"college"
"Scott Clark","",74,,,,1998,1,0,,,,,"highSchool"
"Jerome Moiso","/players/m/moisoje01.html",75,2000,1,11,1998,1,1,1,0,,,"draft"
"Antwan Scott","https://www.sports-reference.com/cbb/players/antwan-scott-1.html",76,,,,1998,1,1,0,,,,"college"
"J.R. Vanhoose","https://www.sports-reference.com/cbb/players/jr-vanhoose-1.html",77,,,,1998,1,1,0,,,,"college"
"Schea Cotton","https://www.sports-reference.com/cbb/players/schea-cotton-1.html",78,,,,1998,1,1,0,,,,"college"
"David Hamilton","https://www.sports-reference.com/cbb/players/david-hamilton-1.html",79,,,,1998,1,1,0,,,,"college"
"Lonny Baxter","/players/b/baxtelo01.html",80,2002,2,44,1998,1,1,1,0,,,"draft"
"Kueth Duany","https://www.sports-reference.com/cbb/players/kueth-duany-1.html",81,,,,1998,1,1,0,,,,"college"
"Steve Bynes","",82,,,,1998,1,0,,,,,"highSchool"
"John Salmons","/players/s/salmojo01.html",82,2002,1,26,1998,1,1,1,1,1,3,"success"
"Traves Wilson","https://www.sports-reference.com/cbb/players/traves-wilson-1.html",82,,,,1998,1,1,0,,,,"college"
"Ajou Deng","https://www.sports-reference.com/cbb/players/ajou-deng-1.html",85,,,,1998,1,1,0,,,,"college"
"Tyrus Boswell","https://www.sports-reference.com/cbb/players/tyrus-boswell-1.html",86,,,,1998,1,1,0,,,,"college"
"Chris Jefferies","/players/j/jeffech01.html",87,2002,1,27,1998,1,1,1,0,,,"draft"
"Marqus Ledoux","https://www.sports-reference.com/cbb/players/marqus-ledoux-1.html",88,,,,1998,1,1,0,,,,"college"
"David Graves","https://www.sports-reference.com/cbb/players/david-graves-1.html",88,,,,1998,1,1,0,,,,"college"
"Damon Hancock","https://www.sports-reference.com/cbb/players/damon-hancock-1.html",90,,,,1998,1,1,0,,,,"college"
"Dahntay Jones","/players/j/jonesda02.html",91,2003,1,20,1998,1,1,1,1,1,4,"success"
"Dennis Gates","https://www.sports-reference.com/cbb/players/dennis-gates-1.html",92,,,,1998,1,1,0,,,,"college"
"Mack McGadney","https://www.sports-reference.com/cbb/players/mack-mcgadney-1.html",93,,,,1998,1,1,0,,,,"college"
"Jermaine Williams","https://www.sports-reference.com/cbb/players/jermaine-williams-1.html",94,,,,1998,1,1,0,,,,"college"
"Kyle Hornsby","https://www.sports-reference.com/cbb/players/kyle-hornsby-1.html",95,,,,1998,1,1,0,,,,"college"
"Donte Smith","https://www.sports-reference.com/cbb/players/donte-smith-1.html",96,,,,1998,1,1,0,,,,"college"
"Dennis Nathan","https://www.sports-reference.com/cbb/players/dennis-nathan-1.html",97,,,,1998,1,1,0,,,,"college"
"Aaron Matthews","https://www.sports-reference.com/cbb/players/aaron-matthews-1.html",98,,,,1998,1,1,0,,,,"college"
"Sam Haginas","https://www.sports-reference.com/cbb/players/sam-haginas-1.html",98,,,,1998,1,1,0,,,,"college"
"Brian Brown","https://www.sports-reference.com/cbb/players/brian-brown-2.html",100,,,,1998,1,1,0,,,,"college"
"Donnell Harvey","/players/h/harvedo01.html",1,2000,1,22,1999,1,1,1,1,0,,"rookie"
"Keith Bogans","/players/b/boganke01.html",2,2003,2,43,1999,1,1,1,1,1,3,"success"
"Jay Williams","/players/w/willija03.html",3,2002,1,2,1999,1,1,1,1,0,,"rookie"
"Joseph Forte","/players/f/fortejo01.html",4,2001,1,21,1999,1,1,1,0,,,"draft"
"Marvin Stone","https://www.sports-reference.com/cbb/players/marvin-stone-1.html",5,,,,1999,1,1,0,,,,"college"
"LaVell Blanchard","https://www.sports-reference.com/cbb/players/lavell-blanchard-1.html",6,,,,1999,1,1,0,,,,"college"
"Brett Nelson","https://www.sports-reference.com/cbb/players/brett-nelson-1.html",7,,,,1999,1,1,0,,,,"college"
"Jonathan Bender","/players/b/bendejo01.html",8,1999,1,5,1999,1,1,2,1,0,,"rookie"
"Carlos Boozer","/players/b/boozeca01.html",8,2002,2,35,1999,1,1,1,1,1,2,"success"
"Jason Kapono","/players/k/kaponja01.html",10,2003,2,31,1999,1,1,1,1,1,4,"success"
"Damien Wilkins","/players/w/wilkida02.html",11,,,,1999,1,1,0,,,,"college"
"Leon Smith","/players/s/smithle01.html",12,1999,1,29,1999,1,1,2,0,,,"draft"
"Kenny Satterfield","/players/s/satteke01.html",13,2001,2,54,1999,1,1,1,0,,,"draft"
"Jason Richardson","/players/r/richaja01.html",14,2001,1,5,1999,1,1,1,1,1,2,"success"
"Jason Parker","https://www.sports-reference.com/cbb/players/jason-parker-1.html",15,,,,1999,1,1,0,,,,"college"
"Casey Sanders","https://www.sports-reference.com/cbb/players/casey-sanders-1.html",16,,,,1999,1,1,0,,,,"college"
"DerMarr Johnson","/players/j/johnsde03.html",17,2000,1,6,1999,1,1,1,1,0,,"rookie"
"Jason Gardner","https://www.sports-reference.com/cbb/players/jason-gardner-1.html",18,,,,1999,1,1,0,,,,"college"
"Casey Jacobsen","/players/j/jacobca01.html",18,2002,1,22,1999,1,1,1,1,1,3,"success"
"Brian Cook","/players/c/cookbr01.html",20,2003,1,24,1999,1,1,1,1,0,,"rookie"
"Drew Gooden","/players/g/goodedr01.html",21,2002,1,4,1999,1,1,1,1,1,3,"success"
"Nick Collison","/players/c/collini01.html",22,2003,1,12,1999,1,1,1,1,1,2,"success"
"Majestic Mapp","https://www.sports-reference.com/cbb/players/majestic-mapp-1.html",23,,,,1999,1,1,0,,,,"college"
"Kevin Gaines","https://www.sports-reference.com/cbb/players/kevin-gaines-1.html",24,,,,1999,1,1,0,,,,"college"
"Joe Johnson","/players/j/johnsjo02.html",25,2001,1,10,1999,1,1,1,1,1,2,"success"
"Mike Dunleavy","/players/d/dunlemi02.html",26,2002,1,3,1999,1,1,1,1,1,2,"success"
"Rod Grizzard","https://www.sports-reference.com/cbb/players/rod-grizzard-1.html",27,,,,1999,1,1,0,,,,"college"
"Travis Watson","https://www.sports-reference.com/cbb/players/travis-watson-1.html",28,,,,1999,1,1,0,,,,"college"
"Samuel Dalembert","/players/d/dalemsa01.html",29,2001,1,26,1999,1,1,1,1,1,3,"success"
"George Williams","https://www.sports-reference.com/cbb/players/george-williams-1.html",30,,,,1999,1,1,0,,,,"college"
"Donnell Knight","https://www.sports-reference.com/cbb/players/donnell-knight-1.html",30,,,,1999,1,1,0,,,,"college"
"Tony Robertson","https://www.sports-reference.com/cbb/players/tony-robertson-1.html",32,,,,1999,1,1,0,,,,"college"
"Marshall Williams","https://www.sports-reference.com/cbb/players/marshall-williams-1.html",33,,,,1999,1,1,0,,,,"college"
"Kareem Rush","/players/r/rushka01.html",34,2002,1,20,1999,1,1,1,1,0,,"rookie"
"Chuck Eidson","https://www.sports-reference.com/cbb/players/chuck-eidson-1.html",35,,,,1999,1,1,0,,,,"college"
"Steven Hunter","/players/h/huntest01.html",36,2001,1,15,1999,1,1,1,1,0,,"rookie"
"Roger Mason","/players/m/masonro01.html",37,2002,2,31,1999,1,1,1,1,1,3,"success"
"Matt Bonner","/players/b/bonnema01.html",38,2003,2,45,1999,1,1,1,1,1,2,"success"
"Reece Gaines","/players/g/gainere01.html",39,2003,1,15,1999,1,1,1,0,,,"draft"
"Matt Carroll","/players/c/carroma01.html",40,,,,1999,1,1,0,,,,"college"
"Todd Billet","https://www.sports-reference.com/cbb/players/todd-billet-2.html",41,,,,1999,1,1,0,,,,"college"
"Tito Maddox","/players/m/maddoti01.html",42,2002,2,38,1999,1,1,1,0,,,"draft"
"Derrick Payne","",43,,,,1999,1,0,,,,,"highSchool"
"Antonio Falu","https://www.sports-reference.com/cbb/players/antonio-falu-1.html",44,,,,1999,1,1,0,,,,"college"
"Marcus Cox","https://www.sports-reference.com/cbb/players/marcus-cox-1.html",45,,,,1999,1,1,0,,,,"college"
"Jamal Crawford","/players/c/crawfja01.html",46,2000,1,8,1999,1,1,1,1,1,3,"success"
"DeShaun Williams","https://www.sports-reference.com/cbb/players/deshaun-williams-1.html",46,,,,1999,1,1,0,,,,"college"
"Brent Darby","https://www.sports-reference.com/cbb/players/brent-darby-1.html",48,,,,1999,1,1,0,,,,"college"
"Mike Bauer","https://www.sports-reference.com/cbb/players/mike-bauer-1.html",49,,,,1999,1,1,0,,,,"college"
"Brian Wethers","https://www.sports-reference.com/cbb/players/brian-wethers-1.html",50,,,,1999,1,1,0,,,,"college"
"Ron Slay","https://www.sports-reference.com/cbb/players/ron-slay-1.html",51,,,,1999,1,1,0,,,,"college"
"Kenny Walker","https://www.sports-reference.com/cbb/players/kenny-walker-2.html",52,,,,1999,1,1,0,,,,"college"
"Hollis Price","https://www.sports-reference.com/cbb/players/hollis-price-1.html",53,,,,1999,1,1,0,,,,"college"
"Josh Moore","https://www.sports-reference.com/cbb/players/josh-moore-1.html",54,,,,1999,1,1,0,,,,"college"
"Steve Blake","/players/b/blakest01.html",55,2003,2,38,1999,1,1,1,1,1,3,"success"
"Andrew Sullivan","https://www.sports-reference.com/cbb/players/andrew-sullivan-1.html",56,,,,1999,1,1,0,,,,"college"
"Tony Bobbitt","/players/b/bobbito01.html",57,,,,1999,1,1,0,,,,"college"
"Bernard King","https://www.sports-reference.com/cbb/players/bernard-king-2.html",57,,,,1999,1,1,0,,,,"college"
"Jamison Brewer","/players/b/breweja01.html",59,2001,2,41,1999,1,1,1,0,,,"draft"
"Ezra Williams","https://www.sports-reference.com/cbb/players/ezra-williams-1.html",60,,,,1999,1,1,0,,,,"college"
"Caron Butler","/players/b/butleca01.html",60,2002,1,10,1999,1,1,1,1,1,2,"success"
"Kirk Hinrich","/players/h/hinriki01.html",62,2003,1,7,1999,1,1,1,1,1,3,"success"
"Curtis Borchardt","/players/b/borchcu01.html",63,2002,1,18,1999,1,1,1,0,,,"draft"
"Stephane Pelle","https://www.sports-reference.com/cbb/players/stephane-pelle-1.html",64,,,,1999,1,1,0,,,,"college"
"Brian Woodward","https://www.sports-reference.com/cbb/players/brian-woodward-1.html",65,,,,1999,1,1,0,,,,"college"
"Erwin Dudley","https://www.sports-reference.com/cbb/players/erwin-dudley-1.html",66,,,,1999,1,1,0,,,,"college"
"Doug Wrenn","https://www.sports-reference.com/cbb/players/doug-wrenn-1.html",67,,,,1999,1,1,0,,,,"college"
"Aloysius Anagonye","https://www.sports-reference.com/cbb/players/aloysius-anagonye-1.html",68,,,,1999,1,1,0,,,,"college"
"Ronald Dupree","/players/d/duprero01.html",69,,,,1999,1,1,0,,,,"college"
"Ronald Blackshear","https://www.sports-reference.com/cbb/players/ronald-blackshear-1.html",70,,,,1999,1,1,0,,,,"college"
"Brian Jackson","https://www.sports-reference.com/cbb/players/brian-jackson-2.html",71,,,,1999,1,1,0,,,,"college"
"George Leach","https://www.sports-reference.com/cbb/players/george-leach-1.html",72,,,,1999,1,1,0,,,,"college"
"Justin Davis","https://www.sports-reference.com/cbb/players/justin-davis-2.html",73,,,,1999,1,1,0,,,,"college"
"Courtland Freeman","https://www.sports-reference.com/cbb/players/courtland-freeman-1.html",74,,,,1999,1,1,0,,,,"college"
"Tahj Holden","https://www.sports-reference.com/cbb/players/tahj-holden-1.html",75,,,,1999,1,1,0,,,,"college"
"Ricky Wright","https://www.sports-reference.com/cbb/players/ricky-wright-1.html",75,,,,1999,1,1,0,,,,"college"
"Rodney White","/players/w/whitero02.html",77,2001,1,9,1999,1,1,1,1,0,,"rookie"
"Jon Oden","https://www.sports-reference.com/cbb/players/jon-oden-1.html",78,,,,1999,1,1,0,,,,"college"
"Jamario Moon","/players/m/moonja01.html",79,,,,1999,1,1,0,,,,"college"
"Ray Henderson","https://www.sports-reference.com/cbb/players/ray-henderson-1.html",79,,,,1999,1,1,0,,,,"college"
"Cliff Crawford","https://www.sports-reference.com/cbb/players/cliff-crawford-1.html",81,,,,1999,1,1,0,,,,"college"
"Jon Higgins","https://www.sports-reference.com/cbb/players/jon-higgins-1.html",82,,,,1999,1,1,0,,,,"college"
"Carlton Baker","",82,,,,1999,1,0,,,,,"highSchool"
"Marquis Daniels","/players/d/daniema01.html",84,,,,1999,1,1,0,,,,"college"
"Shawnson Johnson","https://www.sports-reference.com/cbb/players/shawnson-johnson-1.html",85,,,,1999,1,1,0,,,,"college"
"Zach Johnson","https://www.sports-reference.com/cbb/players/zach-johnson-1.html",85,,,,1999,1,1,0,,,,"college"
"John Stewart","",87,,,,1999,1,0,,,,,"highSchool"
"Adam Wolfe","https://www.sports-reference.com/cbb/players/adam-wolfe-1.html",88,,,,1999,1,1,0,,,,"college"
"Nate Hair","https://www.sports-reference.com/cbb/players/nate-hair-1.html",89,,,,1999,1,1,0,,,,"college"
"Marque Perry","https://www.sports-reference.com/cbb/players/marque-perry-1.html",89,,,,1999,1,1,0,,,,"college"
"Jarrett Hart","https://www.sports-reference.com/cbb/players/jarrett-hart-2.html",91,,,,1999,1,1,0,,,,"college"
"Julian Swartz","https://www.sports-reference.com/cbb/players/julian-swartz-1.html",92,,,,1999,1,1,0,,,,"college"
"Marquis Estill","https://www.sports-reference.com/cbb/players/marquis-estill-1.html",92,,,,1999,1,1,0,,,,"college"
"Rafael Berumen","https://www.sports-reference.com/cbb/players/rafael-berumen-1.html",94,,,,1999,1,1,0,,,,"college"
"Chris Monroe","https://www.sports-reference.com/cbb/players/chris-monroe-1.html",95,,,,1999,1,1,0,,,,"college"
"Derrick Zimmerman","/players/z/zimmede01.html",96,2003,2,40,1999,1,1,1,0,,,"draft"
"Wesley Wilson","https://www.sports-reference.com/cbb/players/wesley-wilson-1.html",97,,,,1999,1,1,0,,,,"college"
"Demetrius Hunter","https://www.sports-reference.com/cbb/players/demetrius-hunter-1.html",98,,,,1999,1,1,0,,,,"college"
"Greg Morton","https://www.sports-reference.com/cbb/players/greg-morton-1.html",99,,,,1999,1,1,0,,,,"college"
"Gilbert Arenas","/players/a/arenagi01.html",99,2001,2,31,1999,1,1,1,1,1,1,"success"
"Zach Randolph","/players/r/randoza01.html",1,2001,1,19,2000,1,1,1,1,1,3,"success"
"Eddie Griffin","/players/g/griffed01.html",2,2001,1,7,2000,1,1,1,1,1,3,"success"
"Darius Miles","/players/m/milesda01.html",3,2000,1,3,2000,1,1,2,1,1,3,"success"
"Gerald Wallace","/players/w/wallage01.html",4,2001,1,25,2000,1,1,1,1,1,1,"success"
"Marcus Taylor","https://www.sports-reference.com/cbb/players/marcus-taylor-1.html",5,,,,2000,1,1,0,,,,"college"
"DeShawn Stevenson","/players/s/stevede01.html",6,2000,1,23,2000,1,1,2,1,1,3,"success"
"Chris Duhon","/players/d/duhonch01.html",6,2004,2,38,2000,1,1,1,1,1,3,"success"
"Mario Austin","https://www.sports-reference.com/cbb/players/mario-austin-1.html",8,,,,2000,1,1,0,,,,"college"
"Jared Jeffries","/players/j/jeffrja01.html",9,2002,1,11,2000,1,1,1,1,1,3,"success"
"Taliek Brown","https://www.sports-reference.com/cbb/players/taliek-brown-1.html",10,,,,2000,1,1,0,,,,"college"
"Andre Brown","/players/b/brownan01.html",11,,,,2000,1,1,0,,,,"college"
"Omar Cook","/players/c/cookom01.html",11,2001,2,32,2000,1,1,1,0,,,"draft"
"Jerome Harper","",13,,,,2000,1,0,,,,,"highSchool"
"Alton Ford","/players/f/fordal02.html",14,2001,2,51,2000,1,1,1,0,,,"draft"
"Andre Barrett","/players/b/barrean01.html",15,,,,2000,1,1,0,,,,"college"
"Darius Rice","https://www.sports-reference.com/cbb/players/darius-rice-1.html",16,,,,2000,1,1,0,,,,"college"
"Abdou Diame","https://www.sports-reference.com/cbb/players/abdou-diame-1.html",17,,,,2000,1,1,0,,,,"college"
"Imari Sawyer","https://www.sports-reference.com/cbb/players/imari-sawyer-1.html",18,,,,2000,1,1,0,,,,"college"
"Cedrick Banks","https://www.sports-reference.com/cbb/players/cedrick-banks-1.html",19,,,,2000,1,1,0,,,,"college"
"Rolando Howell","https://www.sports-reference.com/cbb/players/rolando-howell-1.html",19,,,,2000,1,1,0,,,,"college"
"Travon Bryant","https://www.sports-reference.com/cbb/players/travon-bryant-1.html",21,,,,2000,1,1,0,,,,"college"
"Justin Reed","/players/r/reedju01.html",22,2004,2,40,2000,1,1,1,0,,,"draft"
"Chris Wilcox","/players/w/wilcoch01.html",23,2002,1,8,2000,1,1,1,1,1,3,"success"
"Brian Morrison","https://www.sports-reference.com/cbb/players/brian-morrison-1.html",24,,,,2000,1,1,0,,,,"college"
"Orien Greene","/players/g/greenor01.html",25,2005,2,53,2000,1,1,1,0,,,"draft"
"Marcus Toney-El","https://www.sports-reference.com/cbb/players/marcus-toney-el-1.html",26,,,,2000,1,1,0,,,,"college"
"Glen Worley","https://www.sports-reference.com/cbb/players/glen-worley-1.html",27,,,,2000,1,1,0,,,,"college"
"T.J. Cummings","https://www.sports-reference.com/cbb/players/tj-cummings-1.html",28,,,,2000,1,1,0,,,,"college"
"Desmon Farmer","/players/f/farmede01.html",29,,,,2000,1,1,0,,,,"college"
"Nick Anderson","https://www.sports-reference.com/cbb/players/nick-anderson-2.html",30,,,,2000,1,1,0,,,,"college"
"Garner Meads","https://www.sports-reference.com/cbb/players/garner-meads-1.html",31,,,,2000,1,1,0,,,,"college"
"Rickey Paulding","https://www.sports-reference.com/cbb/players/rickey-paulding-1.html",32,,,,2000,1,1,0,,,,"college"
"Adam Boone","https://www.sports-reference.com/cbb/players/adam-boone-1.html",33,,,,2000,1,1,0,,,,"college"
"Mike Sweetney","/players/s/sweetmi01.html",34,2003,1,9,2000,1,1,1,1,0,,"rookie"
"Scott Hazelton","https://www.sports-reference.com/cbb/players/scott-hazelton-1.html",35,,,,2000,1,1,0,,,,"college"
"Cliff Hawkins","https://www.sports-reference.com/cbb/players/cliff-hawkins-1.html",36,,,,2000,1,1,0,,,,"college"
"Ivan McFarlin","/players/m/mcfariv01.html",36,,,,2000,1,1,0,,,,"college"
"Scooter Sherrill","https://www.sports-reference.com/cbb/players/scooter-sherrill-1.html",38,,,,2000,1,1,0,,,,"college"
"Herve Lamizana","https://www.sports-reference.com/cbb/players/herve-lamizana-1.html",39,,,,2000,1,1,0,,,,"college"
"Brian Boddicker","https://www.sports-reference.com/cbb/players/brian-boddicker-1.html",40,,,,2000,1,1,0,,,,"college"
"Jason Parker","https://www.sports-reference.com/cbb/players/jason-parker-1.html",41,,,,2000,1,1,0,,,,"college"
"Jared Reiner","/players/r/reineja01.html",41,,,,2000,1,1,0,,,,"college"
"Arthur Johnson","https://www.sports-reference.com/cbb/players/arthur-johnson-1.html",43,,,,2000,1,1,0,,,,"college"
"Luke Whitehead","https://www.sports-reference.com/cbb/players/luke-whitehead-1.html",44,,,,2000,1,1,0,,,,"college"
"Terrence Crawford","https://www.sports-reference.com/cbb/players/terrence-crawford-1.html",44,,,,2000,1,1,0,,,,"college"
"Michael Joiner","https://www.sports-reference.com/cbb/players/michael-joiner-1.html",44,,,,2000,1,1,0,,,,"college"
"Caron Butler","/players/b/butleca01.html",47,2002,1,10,2000,1,1,1,1,1,2,"success"
"Eddie Starks","https://www.sports-reference.com/cbb/players/eddie-starks-1.html",48,,,,2000,1,1,0,,,,"college"
"Brandon Brooks","https://www.sports-reference.com/cbb/players/brandon-brooks-4.html",49,,,,2000,1,1,0,,,,"college"
"Brandon Mouton","https://www.sports-reference.com/cbb/players/brandon-mouton-1.html",50,,,,2000,1,1,0,,,,"college"
"Brett Buscher","https://www.sports-reference.com/cbb/players/brett-buscher-1.html",51,,,,2000,1,1,0,,,,"college"
"Mohamed Diakite","https://www.sports-reference.com/cbb/players/mohamed-diakite-1.html",52,,,,2000,1,1,0,,,,"college"
"Romain Sato","https://www.sports-reference.com/cbb/players/romain-sato-1.html",53,,,,2000,1,1,0,,,,"college"
